contract	open	high	low	close	change	chgRate	average	volume	turnover
2017-05-12	Au(T+D)	274.44	275.25	273.65	275.08	1.07	0.39%	274.50	77,724.00	21,335,238,000.00
2017-05-11	Au(T+D)	273.96	274.28	273.20	274.00	0.47	0.17%	273.80	71,690.00	19,628,722,000.00
2017-05-10	Au(T+D)	274.29	274.59	272.52	273.55	-1.28	-0.47%	273.58	94,494.00	25,851,668,000.00
2017-05-09	Au(T+D)	275.53	276.09	274.30	274.83	-0.49	-0.18%	275.17	77,060.00	21,204,602,000.00
2017-05-08	Au(T+D)	275.75	276.15	274.50	275.30	-0.34	-0.12%	275.32	101,870.00	28,046,850,000.00
2017-05-05	Au(T+D)	275.66	276.40	273.80	275.65	-0.38	-0.14%	274.98	106,744.00	29,352,466,000.00
2017-05-04	Au(T+D)	279.95	280.18	275.30	276.04	-4.04	-1.44%	277.82	144,242.00	40,073,312,000.00
2017-05-03	Au(T+D)	280.75	280.75	279.86	280.08	-0.75	-0.27%	280.19	56,772.00	15,906,947,000.00
2017-05-02	Au(T+D)	281.35	281.65	280.66	280.84	-2.34	-0.83%	281.10	51,486.00	14,472,715,000.00
2017-04-28	Au(T+D)	282.31	283.20	282.15	283.18	0.67	0.24%	282.62	66,118.00	18,686,268,000.00
2017-04-27	Au(T+D)	282.40	282.99	281.86	282.54	0.38	0.13%	282.46	77,490.00	21,887,824,000.00
2017-04-26	Au(T+D)	282.80	283.18	281.88	282.17	-1.12	-0.40%	282.39	102,290.00	28,885,674,000.00
2017-04-25	Au(T+D)	283.15	283.74	282.43	283.30	-0.16	-0.06%	283.17	104,234.00	29,515,944,000.00
2017-04-24	Au(T+D)	285.75	287.10	283.03	283.48	-1.77	-0.62%	285.06	143,294.00	40,847,388,000.00
2017-04-21	Au(T+D)	285.36	285.75	284.80	285.26	-0.14	-0.05%	285.22	72,558.00	20,694,992,000.00
2017-04-20	Au(T+D)	285.12	286.08	284.55	285.43	-0.26	-0.09%	285.34	83,992.00	23,966,276,000.00
2017-04-19	Au(T+D)	286.00	286.79	284.70	285.70	-0.18	-0.06%	285.78	119,310.00	34,096,412,000.00
2017-04-18	Au(T+D)	286.50	287.04	285.53	285.88	-0.89	-0.31%	286.09	93,550.00	26,763,720,000.00
2017-04-17	Au(T+D)	286.52	288.67	286.30	286.78	0.07	0.02%	287.35	105,856.00	30,417,722,000.00
2017-04-14	Au(T+D)	286.80	286.89	285.90	286.72	0.34	0.12%	286.51	76,328.00	21,868,736,000.00
2017-04-13	Au(T+D)	284.53	287.00	284.15	286.40	1.91	0.67%	285.83	123,146.00	35,198,820,000.00
2017-04-12	Au(T+D)	281.50	285.68	281.50	284.50	3.06	1.09%	283.92	153,950.00	43,709,488,000.00
2017-04-11	Au(T+D)	280.64	281.82	280.04	281.45	0.23	0.08%	281.00	85,020.00	23,890,620,000.00
2017-04-10	Au(T+D)	282.72	284.94	280.33	281.22	-1.40	-0.50%	282.57	149,442.00	42,227,828,000.00
2017-04-07	Au(T+D)	279.88	284.48	279.62	282.60	2.37	0.85%	282.38	160,220.00	45,242,924,000.00
2017-04-06	Au(T+D)	279.94	280.78	278.76	280.24	-0.16	-0.06%	279.91	104,596.00	29,277,466,000.00
2017-04-05	Au(T+D)	280.31	280.72	279.72	280.42	2.78	1.00%	280.16	47,258.00	13,239,801,000.00
2017-03-31	Au(T+D)	279.59	279.66	277.62	277.63	-1.99	-0.71%	278.46	89,902.00	25,034,110,000.00
